BFY,FundCode,FundName,OrgCode,OrgName,AccountCode,ProgramProjectCode,ProgramProjectName,BocCode,BocName,Authority,OpenCommitments,Obligations,Used,Available,ULO,ProgramArea
2020,T,SUPERFUND,06,REGION 6,000JE5,E5,"CENTRAL PLANNING, BUDGETING, AND FINANCE",38,WCF,38000,0,29000,29000,9000,2824.86,OPERATIONS AND ADMINISTRATION
2020,T,SUPERFUND,06,REGION 6,000YF2,F2,FACILITIES INFRASTRUCTURE AND OPERATIONS,38,WCF,186976.35,0,182392.38,182392.38,4583.97,2326.98,OPERATIONS AND ADMINISTRATION
2020,H,OIL SPILL,06,REGION 6,000D91,91,"OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",37,CONTRACTS,196526.65,0,54000,54000,142526.65,54000,OIL
2020,H,OIL SPILL,06,REGION 6,000D91,91,"OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",38,WCF,36925.18,0,36235,36235,690.18,3739.97,OIL
2020,T,SUPERFUND,06,REGION 6,000DC6,C6,SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,38,WCF,121854.46,0,63000,63000,58854.46,2865.8,SUPERFUND CLEANUP
2020,T,SUPERFUND,06,REGION 6,000FC6,C6,SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,37,CONTRACTS,2800,0,2730.12,2730.12,69.88,2730.12,SUPERFUND CLEANUP
2020,T,SUPERFUND,06,REGION 6,000FC6,C6,SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,38,WCF,28000,0,21000,21000,7000,0.01,SUPERFUND CLEANUP
2020,T,SUPERFUND,06,REGION 6,000DC8,C8,SUPERFUND:  EPA EMERGENCY PREPAREDNESS,37,CONTRACTS,109952.06,0,109952,109952,0.06,109952,SUPERFUND CLEANUP
2020,T,SUPERFUND,06,REGION 6,000FD2,D2,SUPERFUND:  REMEDIAL,38,WCF,30763,0,24000,24000,6763,1849.51,SUPERFUND CLEANUP
2020,E3,DRINKING WATER (SRF),06,REGION 6,000B81,81,INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,37,CONTRACTS,2194000,0,2193100,2193100,900,2193100,STATE AND TRIBAL ASSISTANCE GRANTS (STAG)
2020,E4,SPECIAL PROJECTS,06,REGION 6,000BM1,M1,LEAD TESTING IN SCHOOLS,41,GRANTS,3312000,0,244000,244000,3068000,244000,STATE AND TRIBAL ASSISTANCE GRANTS (STAG)
2020,T,SUPERFUND,06,REGION 6,000D72,72,"HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",36,EXPENSES,43439,0,25117.84,25117.84,18321.16,11424,HOMELAND SECURITY
2020,T,SUPERFUND,06,REGION 6,000D72,72,"HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",37,CONTRACTS,434561,0,434560.37,434560.37,0.63,432084.19,HOMELAND SECURITY
